出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格
2025-01-20 Monday,Departure time: 7:40 PM.,TPE,Arrival time: 9:45 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,CX 451,Business Class,$446
2025-01-20 Monday,Departure time: 8:15 PM.,TPE,Arrival time: 10:20 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,CX 531,Business Class,$446
2025-01-20 Monday,Departure time: 9:15 PM.,TPE,Arrival time: 11:25 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,CX 479,Business Class,$446
2025-01-20 Monday,Departure time: 9:50 AM.,TPE,Arrival time: 11:50 AM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,BR 867,Business Class,$511
2025-01-20 Monday,Departure time: 7:00 AM.,TPE,Arrival time: 9:00 AM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,BR 891,Business Class,$669
2025-01-20 Monday,Departure time: 8:05 AM.,TPE,Arrival time: 10:05 AM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,BR 851,Business Class,$669
2025-01-20 Monday,Departure time: 9:45 PM.,TPE,Arrival time: 11:45 PM.,HKG,Hong Kong Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,HX 283,Business Class,Price unavailable
出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格
2025-01-21 Tuesday,Departure time: 4:30 PM.,TPE,Arrival time: 6:30 PM.,HKG,STARLUX Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,JX 235,Business Class,$368
2025-01-21 Tuesday,Departure time: 12:25 PM.,TPE,Arrival time: 2:20 PM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,BR 869,Business Class,$416
2025-01-21 Tuesday,Departure time: 12:25 PM.,TPE,Arrival time: 2:30 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,CX 461,Business Class,$446
2025-01-21 Tuesday,Departure time: 11:55 AM.,TPE,Arrival time: 1:55 PM.,HKG,Hong Kong Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,HX 253,Business Class,Price unavailable
2025-01-21 Tuesday,Departure time: 8:05 AM.,TPE,Arrival time: 10:10 AM.,HKG,STARLUX Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,JX 233,Business Class,$368
2025-01-21 Tuesday,Departure time: 7:15 AM.,TPE,Arrival time: 9:15 AM.,HKG,China Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,CI 601,Business Class,$412
2025-01-21 Tuesday,Departure time: 8:05 AM.,TPE,Arrival time: 10:05 AM.,HKG,China Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,CI 903,Business Class,$412
2025-01-21 Tuesday,Departure time: 10:50 AM.,TPE,Arrival time: 12:55 PM.,HKG,China Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,CI 909,Business Class,$412
2025-01-21 Tuesday,Departure time: 2:30 PM.,TPE,Arrival time: 4:30 PM.,HKG,China Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,CI 915,Business Class,$412
2025-01-21 Tuesday,Departure time: 4:55 PM.,TPE,Arrival time: 7:00 PM.,HKG,China Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,CI 919,Business Class,$412
2025-01-21 Tuesday,Departure time: 6:10 PM.,TPE,Arrival time: 8:10 PM.,HKG,China Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,CI 923,Business Class,$412
2025-01-21 Tuesday,Departure time: 9:10 PM.,TPE,Arrival time: 11:00 PM.,HKG,China Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,CI 921,Business Class,$412
2025-01-21 Tuesday,Departure time: 8:05 AM.,TPE,Arrival time: 10:05 AM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,BR 851,Business Class,$416
2025-01-21 Tuesday,Departure time: 2:25 PM.,TPE,Arrival time: 4:25 PM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,BR 855,Business Class,$416
2025-01-21 Tuesday,Departure time: 4:35 PM.,TPE,Arrival time: 6:30 PM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,BR 871,Business Class,$416
2025-01-21 Tuesday,Departure time: 6:10 PM.,TPE,Arrival time: 8:05 PM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,BR 857,Business Class,$416
2025-01-21 Tuesday,Departure time: 7:00 PM.,TPE,Arrival time: 8:50 PM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,BR 809,Business Class,$416
2025-01-21 Tuesday,Departure time: 8:20 AM.,TPE,Arrival time: 10:30 AM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,CX 407,Business Class,$446
2025-01-21 Tuesday,Departure time: 9:50 AM.,TPE,Arrival time: 11:50 AM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,CX 469,Business Class,$446
2025-01-21 Tuesday,Departure time: 10:45 AM.,TPE,Arrival time: 1:00 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,CX 489,Business Class,$446
2025-01-21 Tuesday,Departure time: 1:20 PM.,TPE,Arrival time: 3:25 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,CX 495,Business Class,$446
2025-01-21 Tuesday,Departure time: 3:50 PM.,TPE,Arrival time: 5:55 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,CX 443,Business Class,$446
2025-01-21 Tuesday,Departure time: 5:00 PM.,TPE,Arrival time: 7:05 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,CX 421,Business Class,$446
2025-01-21 Tuesday,Departure time: 6:35 PM.,TPE,Arrival time: 8:40 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,CX 473,Business Class,$446
2025-01-21 Tuesday,Departure time: 7:30 PM.,TPE,Arrival time: 9:35 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,CX 565,Business Class,$446
2025-01-21 Tuesday,Departure time: 7:40 PM.,TPE,Arrival time: 9:45 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,CX 451,Business Class,$446
2025-01-21 Tuesday,Departure time: 8:15 PM.,TPE,Arrival time: 10:20 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,CX 531,Business Class,$446
2025-01-21 Tuesday,Departure time: 9:15 PM.,TPE,Arrival time: 11:25 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,CX 479,Business Class,$446
2025-01-21 Tuesday,Departure time: 9:50 AM.,TPE,Arrival time: 11:50 AM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,BR 867,Business Class,$511
2025-01-21 Tuesday,Departure time: 7:00 AM.,TPE,Arrival time: 9:00 AM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,BR 891,Business Class,$669
2025-01-21 Tuesday,Departure time: 9:45 PM.,TPE,Arrival time: 11:45 PM.,HKG,Hong Kong Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A330-900neo,HX 283,Business Class,Price unavailable
